x,y,layer1,layer2,voltage1,voltage2,current
4194.39,3117.21,INT1__GND_,INT2__PWR_,0.000184025,0.000184025,9.20717e-17
4194.39,3117.21,INT2__PWR_,BOTTOM_LAYER,0.000184025,0.000184025,-0
4220.54,3197.46,TOP_LAYER,INT1__GND_,3.29941,3.29941,-0.002
4220.54,3197.46,INT1__GND_,INT2__PWR_,3.29941,3.29942,-0.002
4220.54,3197.46,INT2__PWR_,BOTTOM_LAYER,3.29942,3.29942,1.30886e-12
4244.39,3014.21,TOP_LAYER,INT1__GND_,0.000183199,0.000183199,-3.99432e-16
4244.39,3014.21,INT1__GND_,INT2__PWR_,0.000183199,0.000183199,7.67264e-17
4244.39,3014.21,INT2__PWR_,BOTTOM_LAYER,0.000183199,0.000183199,7.98864e-17
4300,3281.27,TOP_LAYER,INT1__GND_,0.000185711,0.000185711,-2.39659e-16
4300,3281.27,INT1__GND_,INT2__PWR_,0.000185711,0.000185711,9.20717e-17
4300,3281.27,INT2__PWR_,BOTTOM_LAYER,0.000185711,0.000185711,-0
4395.54,3316.46,TOP_LAYER,INT1__GND_,3.29952,3.29952,-0.00169541
4395.54,3316.46,INT1__GND_,INT2__PWR_,3.29952,3.29953,-0.00169541
4395.54,3316.46,INT2__PWR_,BOTTOM_LAYER,3.29953,3.29953,1.30886e-12
4445.54,3316.46,TOP_LAYER,INT1__GND_,3.29952,3.29952,-0.00181735
4445.54,3316.46,INT1__GND_,INT2__PWR_,3.29952,3.29953,-0.00181735
4445.54,3316.46,INT2__PWR_,BOTTOM_LAYER,3.29953,3.29953,1.30886e-12
4470.54,3105.35,TOP_LAYER,INT1__GND_,0.000192737,0.000191914,0.0024257
4470.54,3105.35,INT1__GND_,INT2__PWR_,0.000191914,0.000191914,7.67264e-17
4470.54,3105.35,INT2__PWR_,BOTTOM_LAYER,0.000191914,0.000191914,7.98864e-17
4470.54,3148.46,TOP_LAYER,INT1__GND_,0.000192691,0.000192038,0.00192178
4470.54,3148.46,INT1__GND_,INT2__PWR_,0.000192038,0.000192038,9.20717e-17
4470.54,3148.46,INT2__PWR_,BOTTOM_LAYER,0.000192038,0.000192038,-0
4495.54,3316.46,TOP_LAYER,INT1__GND_,3.29952,3.29952,-0.001728
4495.54,3316.46,INT1__GND_,INT2__PWR_,3.29952,3.29952,-0.001728
4495.54,3316.46,INT2__PWR_,BOTTOM_LAYER,3.29952,3.29952,1.30886e-12
4520.54,3105.35,TOP_LAYER,INT1__GND_,0.000192737,0.000192228,0.00150259
4520.54,3105.35,INT1__GND_,INT2__PWR_,0.000192228,0.000192228,7.67264e-17
4520.54,3105.35,INT2__PWR_,BOTTOM_LAYER,0.000192228,0.000192228,7.98864e-17
4520.54,3148.46,TOP_LAYER,INT1__GND_,0.000194537,0.000193129,0.00414992
4520.54,3148.46,INT1__GND_,INT2__PWR_,0.000193129,0.000193129,7.67264e-17
4520.54,3148.46,INT2__PWR_,BOTTOM_LAYER,0.000193129,0.000193129,7.98864e-17
4545.54,3316.46,TOP_LAYER,INT1__GND_,3.29952,3.29952,-0.00251269
4545.54,3316.46,INT1__GND_,INT2__PWR_,3.29952,3.29952,-0.00251269
4545.54,3316.46,INT2__PWR_,BOTTOM_LAYER,3.29952,3.29952,1.30886e-12
4545.54,3351.65,TOP_LAYER,INT1__GND_,3.29952,3.29952,-0.00224655
4545.54,3351.65,INT1__GND_,INT2__PWR_,3.29952,3.29952,-0.00224655
4545.54,3351.65,INT2__PWR_,BOTTOM_LAYER,3.29952,3.29952,1.30886e-12
4583.54,3028.46,TOP_LAYER,INT1__GND_,3.29953,3.29953,-7.85315e-12
4583.54,3028.46,INT1__GND_,INT2__PWR_,3.29953,3.29953,-7.54252e-12
4583.54,3028.46,INT2__PWR_,BOTTOM_LAYER,3.29953,3.29953,1.30886e-12
4637.54,2979.39,TOP_LAYER,INT1__GND_,0.000189258,0.000189258,1.59773e-16
4637.54,2979.39,INT1__GND_,INT2__PWR_,0.000189258,0.000189258,9.20717e-17
4637.54,2979.39,INT2__PWR_,BOTTOM_LAYER,0.000189258,0.000189258,-0
4758.54,3556.46,TOP_LAYER,INT1__GND_,0.000187759,0.000187759,7.98864e-17
4758.54,3556.46,INT1__GND_,INT2__PWR_,0.000187759,0.000187759,9.20717e-17
4758.54,3556.46,INT2__PWR_,BOTTOM_LAYER,0.000187759,0.000187759,-0
4801.17,2805.43,TOP_LAYER,INT1__GND_,3.29953,3.29953,8.81016e-12
4801.17,2805.43,INT1__GND_,INT2__PWR_,3.29953,3.29953,1.26925e-11
4801.17,2805.43,INT2__PWR_,BOTTOM_LAYER,3.29953,3.29953,-0.000285383
4801.17,3789.69,TOP_LAYER,INT1__GND_,3.29954,3.29954,4.84559e-11
4801.17,3789.69,INT1__GND_,INT2__PWR_,3.29954,3.29954,4.99239e-11
4801.17,3789.69,INT2__PWR_,BOTTOM_LAYER,3.29954,3.29954,-0.00137967
4901.17,2805.43,TOP_LAYER,INT1__GND_,3.29953,3.29953,1.32152e-11
4901.17,2805.43,INT1__GND_,INT2__PWR_,3.29953,3.29953,1.0154e-11
4901.17,2805.43,INT2__PWR_,BOTTOM_LAYER,3.29953,3.29953,-0.00037968
4901.17,3789.69,TOP_LAYER,INT1__GND_,3.29953,3.29953,4.84559e-11
4901.17,3789.69,INT1__GND_,INT2__PWR_,3.29953,3.29953,4.65392e-11
4901.17,3789.69,INT2__PWR_,BOTTOM_LAYER,3.29953,3.29953,-0.0013326
5001.17,2805.43,TOP_LAYER,INT1__GND_,0.000188783,0.000188783,1.07546e-15
5001.17,2805.43,INT1__GND_,INT2__PWR_,0.000188783,0.000188783,1.34279e-15
5001.17,2805.43,INT2__PWR_,BOTTOM_LAYER,0.000188783,0.000188783,1.34432e-15
5001.17,3789.69,TOP_LAYER,INT1__GND_,0.00018801,0.00018801,2.15092e-15
5001.17,3789.69,INT1__GND_,INT2__PWR_,0.00018801,0.00018801,-2.5823e-15
5001.17,3789.69,INT2__PWR_,BOTTOM_LAYER,0.00018801,0.00018801,-2.68865e-15
5101.17,2805.43,TOP_LAYER,INT1__GND_,0.000188736,0.000188736,-0
5101.17,2805.43,INT1__GND_,INT2__PWR_,0.000188736,0.000188736,9.29627e-16
5101.17,2805.43,INT2__PWR_,BOTTOM_LAYER,0.000188736,0.000188736,8.06595e-16
5101.17,3789.69,TOP_LAYER,INT1__GND_,0.000188096,0.000188096,-2.68865e-16
5101.17,3789.69,INT1__GND_,INT2__PWR_,0.000188096,0.000188096,-2.84053e-15
5101.17,3789.69,INT2__PWR_,BOTTOM_LAYER,0.000188096,0.000188096,-2.95751e-15
